Регион,Округ,Население,Бюджет,Бюджет МиММ,Бюджет ПВ,Бюджет ВД,Бюджет ПиП,Бюджет других расходов,Общее количество организаций,Кол-во организаций МиММ,Кол-во организаций ПВ,Кол-во организаций ВД,Кол-во организаций ПиП,Кол-во других организаций,Общее количество вовлеченной молодежи,Численность МиММ,Численность ПВ,Численность ВД,Численность ПиП,Численность других отделений,M1 Вовлеченность,Бюджет на человек,M2 Вовлеченность,M3 Итоговая,Уровень вовлеченности населения,Уровень финансирования населения,В ТВ-сюжетах,В интернет-СМИ,В печатных СМИ,Кол-во новостей,Кол-во просмотров сайта,Кол-во публикаций в соц. сетях,Кол-во печатных статей,Кол-во электронных статей,Общее кол-во упоминаний,Финансирование,Число подписчиков сообщества,Число уникальных пользователей сайта,Финансирование за прошлый год,"Финансирование, тенденция",Кол-во просмотров сайта за прошлый год,"Кол-во просмотров сайта, тенденция",Число подписчиков сообщества за прошлый год,"Число подписчиков сообщества, тенденция",Кол-во человек на одну организацию,Уровень загруженности организаций в регионе
Калининградская область,СЗФО,278772.0,240611305.0,11314818.0,10343057.0,11282687.0,540000.0,207130743.0,626.0,6.0,846.0,260.0,0.0,-486.0,222614.0,3390.0,47046.0,98024.0,196.0,73958.0,0.03194208887549682,27021.133554044223,0.3101712419840482,0.05791950493823487,Низкий,Низкий,11.0,151.0,0.0,2.0,458342.0,983.0,0.0,15.0,162.0,900000.0,42932.0,90346.0,819157.1707312507,+9.0%,425008.3539758566,+7.3%,40931.490408126956,+4.7%,355.61341853035145,Средний
Калужская область,ЦФО,253901.0,34460792.0,421879.0,6236572.0,2472536.0,0.0,25329805.0,1371.0,16.0,836.0,442.0,0.0,77.0,269858.0,2294.0,124706.0,33282.0,10.0,109566.0,0.042513893210345766,3192.4930889578964,2.6252769609003432,0.0836727843123998,Низкий,Низкий,158.0,1200.0,48.0,200.0,140000.0,1200.0,201.0,346.0,1406.0,0.0,8380.0,52500.0,0.0,+9.0%,129818.27883244374,+7.3%,7989.515736981829,+4.7%,196.8329686360321,Низкий
Камчатский край,ДФО,88270.0,226922162.0,3894233.0,12002385.0,5021980.0,15000.0,205988564.0,517.0,14.0,264.0,266.0,0.0,-27.0,144517.0,36.0,96500.0,19310.0,52.0,28619.0,0.0654886144783052,39255.27135215926,0.2135045374947771,0.10023268489911419,Средний,Низкий,12.0,138.0,0.0,48.0,0.0,565.0,0.0,0.0,150.0,1611218.0,718.0,0.0,1466489.7536791826,+9.0%,0.0,+7.3%,684.5432337891352,+4.7%,279.52998065764024,Низкий
Карачаево-Черкесская Республика,СКФО,137167.0,29280258.5,549787.0,0.0,4298252.0,214850.0,24217369.5,1275.0,14.0,0.0,454.0,0.0,807.0,430840.5,2951.0,0.0,114584.0,178.0,313127.5,0.12563969467874928,1699.0196197896903,4.932949835689468,0.24503838767740357,Высокий,Низкий,97.0,33600.0,1288.0,42.0,58400.0,1680.0,421.0,128.0,34985.0,503535.0,13226.0,16934.0,458304.78440462257,+9.0%,54152.76774153367,+7.3%,12609.705863642204,+4.7%,337.91411764705884,Средний
Кемеровская область,СФО,306209.0,354464795.0,0.0,5157020.0,1887786.0,1945912.0,345474077.0,3393.0,4.0,1132.0,892.0,0.0,1365.0,819874.0,5400.0,131314.0,277722.0,900.0,404538.0,0.10709992194873436,10808.514326591647,0.7754237354947979,0.18820531517366754,Средний,Низкий,54.0,789.0,39.0,9.0,6042612.0,1219.0,23.0,0.0,882.0,0.0,1620.0,5378611.0,0.0,+9.0%,5603153.496373361,+7.3%,1544.5125887721435,+4.7%,241.63689949896846,Низкий
Кировская область,ПФО,295793.0,40171371.0,1754149.0,4186953.0,1150901.0,5423561.0,27655807.0,1763.0,42.0,518.0,454.0,0.0,749.0,938782.0,8108.0,449428.0,445376.0,2802.0,33068.0,0.1269512125033385,1069.7736801515155,7.834534266245625,0.24985378096930813,Высокий,Низкий,43.0,96.0,19.0,37.0,20265.0,2914.0,17.0,168.0,158.0,0.0,26773.0,18648.0,0.0,+9.0%,18791.19586099623,+7.3%,25525.454036541112,+4.7%,532.4912081678956,Средний
Костромская область,ЦФО,152908.0,18668521.0,557252.0,2820854.0,1324363.0,157023.0,13809029.0,1962.0,20.0,912.0,388.0,0.0,642.0,616140.0,11434.0,377446.0,156578.0,332.0,70350.0,0.1611792711957517,757.4788603239524,11.064570898639127,0.3177301198682583,Высокий,Низкий,202.0,1300.0,183.0,250.0,158922.0,6069.0,5.0,902.0,1685.0,36000.0,6557.0,68653.0,32766.286829250028,+9.0%,147364.14649006873,+7.3%,6251.4623731968795,+4.7%,314.0366972477064,Средний
Краснодарский край,ЮФО,1492183.0,266881631.0,2640900.0,30978972.0,9817526.0,238400.0,223205833.0,506.0,20.0,216.0,150.0,0.0,120.0,4359276.0,8580.0,4000530.0,1167232.0,136.0,-817202.0,0.1168563373259178,1530.5387351018837,5.4759663130752605,0.22882948617016644,Высокий,Низкий,58.0,45.0,9.0,29.0,25697.0,9250.0,2.0,31.0,112.0,310194.0,46904.0,22365.0,282330.7104642329,+9.0%,23828.14507969505,+7.3%,44718.406459116435,+4.7%,8615.169960474308,Высокий
Красноярский край,СФО,797416.0,136053732.0,33420283.0,16078190.0,17034413.0,2265060.0,67255786.0,1423.0,6.0,700.0,404.0,0.0,313.0,358849.0,3004.0,89698.0,79854.0,252.0,186041.0,0.018000591911875356,9478.480642275721,0.8842322805295585,0.03528291846438496,Низкий,Низкий,76.0,246.0,108.0,51.0,39102.0,10593.0,20.0,34.0,430.0,2271030.0,106709.0,27930.0,2067033.8993842136,+9.0%,36258.24527790154,+7.3%,101736.66286128806,+4.7%,252.17779339423754,Низкий
Курганская область,УФО,198202.0,21281312.0,932000.0,2632783.0,711619.0,325249.0,16679661.0,2635.0,30.0,1108.0,712.0,0.0,785.0,234017.0,436.0,74794.0,48568.0,72.0,110147.0,0.0472279795360289,2273.4792771465322,3.6864987680002264,0.09326118387725953,Низкий,Низкий,63.0,164.0,311.0,69.0,3766872.0,2923.0,265.0,8.0,538.0,0.0,13101.0,941718.0,0.0,+9.0%,3492920.2830151785,+7.3%,12490.530509570279,+4.7%,88.81100569259962,Низкий
