Регион,Округ,Население,Бюджет,Бюджет МиММ,Бюджет ПВ,Бюджет ВД,Бюджет ПиП,Бюджет других расходов,Общее количество организаций,Кол-во организаций МиММ,Кол-во организаций ПВ,Кол-во организаций ВД,Кол-во организаций ПиП,Кол-во других организаций,Общее количество вовлеченной молодежи,Численность МиММ,Численность ПВ,Численность ВД,Численность ПиП,Численность других отделений,M1 Вовлеченность,Бюджет на человек,M2 Вовлеченность,M3 Итоговая,Уровень вовлеченности населения,Уровень финансирования населения,В ТВ-сюжетах,В интернет-СМИ,В печатных СМИ,Кол-во новостей,Кол-во просмотров сайта,Кол-во публикаций в соц. сетях,Кол-во печатных статей,Кол-во электронных статей,Общее кол-во упоминаний,Финансирование,Число подписчиков сообщества,Число уникальных пользователей сайта,Финансирование за прошлый год,"Финансирование, тенденция",Кол-во просмотров сайта за прошлый год,"Кол-во просмотров сайта, тенденция",Число подписчиков сообщества за прошлый год,"Число подписчиков сообщества, тенденция",Кол-во человек на одну организацию,Уровень загруженности организаций в регионе
Республика Башкортостан,ПФО,1107620.0,637074507.0,8903335.0,184011138.0,31521730.0,1132617.0,411505687.0,1659.0,60.0,1190.0,798.0,0.0,-389.0,2440399.0,46376.0,426252.0,538896.0,4214.0,1424661.0,0.08813127245806324,6526.335519314669,1.284208960674894,0.1649430178811352,Средний,Низкий,451.0,1876.0,891.0,53.0,1347561.0,1391.0,308.0,134.0,3218.0,1323000.0,1691.0,343031.0,1204161.0409749385,+9.0%,1249557.497440905,+7.3%,1612.2041898849968,+4.7%,1471.0060277275468,Высокий
Республика Бурятия,ДФО,288541.0,26281877.5,549787.0,1300188.0,6313689.0,214850.0,17903363.5,286.5,14.0,6.0,20.0,0.0,246.5,184238.5,2951.0,3060.0,182518.0,178.0,-4468.5,0.025540703054331967,3566.2846663428113,2.350114850161288,0.05053222926219174,Низкий,Низкий,427.0,3076.0,80.0,20.0,648500.0,1235.0,18.0,25.0,3583.0,828050.0,24000.0,16500.0,753670.1058044579,+9.0%,601336.813020284,+7.3%,22881.667981809533,+4.7%,643.066317626527,Средний
Республика Дагестан,СКФО,1099617.0,27714915.0,1100700.0,3765000.0,4219215.0,1000000.0,17630000.0,394.0,0.0,672.0,68.0,0.0,-346.0,746196.0,2400.0,730600.0,64492.0,500.0,-51796.0,0.02714385099539203,928.5400551597703,9.02618956253063,0.0541249357226691,Низкий,Низкий,200.0,4300.0,230.0,5.0,203000.0,5300.0,40.0,213.0,4730.0,503535.0,47300.0,47000.0,458304.78440462257,+9.0%,188236.50430704342,+7.3%,45095.95398081629,+4.7%,1893.8984771573605,Высокий
Республика Ингушетия,СКФО,183627.0,17057054.5,0.0,13121000.0,661465.0,214850.0,3059739.5,282.5,0.0,0.0,0.0,0.0,282.5,115355.5,0.0,14000.0,66736.0,178.0,34441.5,0.025128221884581244,3696.627924112851,2.267249700627126,0.04970555071712252,Низкий,Низкий,48.0,48.0,48.0,0.0,516.0,550.0,48.0,10.0,144.0,200000.0,13.0,146.0,182034.92682916683,+9.0%,478.47308483957835,+7.3%,12.394236823480165,+4.7%,408.33805309734515,Средний
Республика Калмыкия,ЮФО,76410.0,15169793.5,220800.0,1281636.0,1033465.0,19620.0,12614272.5,1251.5,14.0,452.0,454.0,0.0,331.5,84464.5,260.0,28400.0,36600.0,150.0,19054.5,0.04421646381363696,4489.990913342292,1.8666359723289272,0.08638662029845745,Низкий,Низкий,50.0,50.0,50.0,9.0,57140.0,1236.0,57.0,10.0,150.0,0.0,8213.0,19328.0,0.0,+9.0%,52984.40323204168,+7.3%,7830.297463941738,+4.7%,67.49061126648023,Низкий
Республика Карелия,СЗФО,151278.0,24393151.0,5012800.0,5253213.0,4331360.0,1285148.0,8510630.0,249.0,22.0,108.0,26.0,0.0,93.0,104328.0,2026.0,32600.0,70000.0,60.0,-358.0,0.027585769246023878,5845.303034659919,1.433831317996391,0.0541301182547481,Низкий,Низкий,64.0,1225.0,117.0,72.0,32000.0,503.0,5.0,33.0,1406.0,200000.0,7181.0,5730.0,182034.92682916683,+9.0%,29672.74944741571,+7.3%,6846.3857407239275,+4.7%,418.9879518072289,Средний
Республика Коми,СЗФО,208273.0,40706643.0,389813.0,2091665.0,2632622.0,52319.0,35540224.0,1736.0,20.0,752.0,720.0,0.0,244.0,394035.0,11326.0,87800.0,61250.0,220.0,233439.0,0.0756766359537722,2582.6793939624654,3.245148652158465,0.14790415746615485,Средний,Низкий,262.0,2061.0,885.0,37.0,429936.0,6737.0,20.0,26.0,3208.0,0.0,30220.0,83353.0,0.0,+9.0%,398668.2252007538,+7.3%,28811.833600428505,+4.7%,226.9786866359447,Низкий
Республика Крым,ЮФО,477175.0,329591858.0,8043100.0,72360325.0,24453907.0,112000.0,224622526.0,1073.0,10.0,536.0,170.0,0.0,357.0,1049396.0,1038.0,457742.0,256084.0,760.0,333772.0,0.0879673914182428,7851.941926593965,1.0674020048324968,0.16253947917336004,Средний,Низкий,27.0,125.0,139.0,7.0,32634.0,3026.0,43.0,21.0,291.0,3700000.0,8873.0,5241.0,3367646.146339586,+9.0%,30260.640795842635,+7.3%,8459.5433334415,+4.7%,978.0018639328985,Высокий
Республика Марий Эл,ПФО,178819.0,34300438.0,12760.0,20516784.0,8615846.0,135000.0,5020048.0,944.0,8.0,908.0,550.0,0.0,-522.0,490831.0,1116.0,170820.0,99792.0,68.0,219035.0,0.10979392570140757,1747.0594766834204,4.797305796472013,0.21467468199382378,Средний,Низкий,145.0,1424.0,483.0,13.0,224488.0,4944.0,461.0,130.0,2052.0,1021865.0,29992.0,78645.0,930075.6025214328,+9.0%,208161.75556098306,+7.3%,28594.457754601313,+4.7%,519.9480932203389,Средний
Республика Мордовия,ПФО,204634.0,145020806.0,4170000.0,2520514.0,6607400.0,0.0,131722892.0,1422.0,2.0,370.0,598.0,0.0,452.0,433939.0,1840.0,91000.0,79786.0,0.0,261313.0,0.08482246352023613,8354.907371773452,1.003144401407733,0.1564186964454474,Средний,Низкий,111.0,407.0,185.0,62.0,29238.0,1713.0,104.0,136.0,703.0,782952.0,16061.0,23300.0,712623.0501537491,+9.0%,27111.620260735643,+7.3%,15312.602893993455,+4.7%,305.16104078762305,Средний
Республика Саха (Якутия),ДФО,311199.0,61975127.5,549787.0,9368357.0,5905435.0,214850.0,45936698.5,3125.0,14.0,970.0,768.0,0.0,1373.0,217697.0,2951.0,32414.0,135338.0,178.0,46816.0,0.02798170945279387,7117.131552111422,1.1776062438790122,0.05466450734673097,Низкий,Низкий,120.0,3000.0,1000.0,3302.0,100000.0,500.0,22.0,15.0,4120.0,150000.0,4795.0,310282.0,136526.19512187512,+9.0%,92727.3420231741,+7.3%,4571.56658219903,+4.7%,69.66304,Низкий
Республика Северная Осетия - Алания,СКФО,306209.0,30920356.0,0.0,15639990.0,0.0,0.0,15280366.0,7.0,0.0,0.0,0.0,0.0,7.0,130871.0,0.0,57014.0,0.0,0.0,73857.0,0.01709564382496922,5906.647767649059,1.4189399612041842,0.03378424894314499,Низкий,Низкий,40.0,70.0,30.0,6.0,35220.0,1203.0,25.0,20.0,140.0,930465.0,33734.0,14544.0,846885.6409605035,+9.0%,32658.569860561918,+7.3%,32162.091154098453,+4.7%,18695.85714285714,Высокий
Республика Татарстан,ПФО,1072868.0,2565743873.0,32665150.0,53510669.0,52927999.0,9661947.0,2416978108.0,4342.0,22.0,1388.0,2494.0,0.0,438.0,1441157.0,76012.0,115202.0,187194.0,5130.0,1057619.0,0.05373100884731393,44508.40319618196,0.18830553226842553,0.08360593961285108,Низкий,Низкий,6358.0,20324.0,7450.0,47.0,842842.0,51209.0,45.0,49.0,34132.0,19456250.0,1400876.0,653835.0,17708585.225599885,+9.0%,781544.984054961,+7.3%,1335599.1464868921,+4.7%,331.9108705665592,Средний
Республика Тыва,СФО,102857.0,32377068.5,549787.0,5196600.0,4298252.0,214850.0,22117579.5,1275.0,14.0,0.0,454.0,0.0,807.0,430840.5,2951.0,0.0,114584.0,178.0,313127.5,0.1675493160407167,1878.7154701101686,4.461121807754774,0.322968682661872,Высокий,Низкий,19.0,21.0,36.0,0.0,111447.0,1171.0,6.0,0.0,76.0,0.0,7219.0,18044.0,0.0,+9.0%,103341.84086456684,+7.3%,6882.615048361793,+4.7%,337.91411764705884,Средний
Республика Хакасия,СФО,141228.0,28460512.0,861152.0,12548238.0,419828.0,130000.0,14501294.0,592.0,10.0,344.0,218.0,0.0,20.0,103275.0,2706.0,21500.0,7090.0,52.0,71927.0,0.02925057354065766,6889.4969740982815,1.21651531102845,0.057127540590632915,Низкий,Низкий,52.0,3460.0,1510.0,3.0,4120096.0,4317.0,56.0,10.0,5022.0,89000.0,8070.0,190259.0,81005.54243897923,+9.0%,3820455.5096031153,+7.3%,7693.960858883456,+4.7%,174.45101351351352,Низкий
Ростовская область,ЮФО,1128158.0,111178579.0,9593440.0,14357572.0,22070751.0,234720.0,64922096.0,7414.0,120.0,2966.0,1304.0,0.0,3024.0,1347776.0,70652.0,615254.0,341694.0,2384.0,317792.0,0.047786781638742094,2062.2599564022507,4.0640747197052,0.09446283690761864,Низкий,Низкий,393.0,518.0,319.0,200.0,96490.0,4651.0,367.0,296.0,1230.0,2486000.0,85296.0,43595.0,2262694.1404865435,+9.0%,89472.61231816068,+7.3%,81321.44800735108,+4.7%,181.78796870785,Низкий
Рязанская область,ЦФО,273390.0,27423895.5,549787.0,0.0,4298252.0,214850.0,22361006.5,2427.0,78.0,302.0,1294.0,0.0,753.0,450980.0,1376.0,181740.0,184914.0,40.0,82910.0,0.0659833936866747,1520.2390072730498,5.513066375864538,0.13040601683992542,Средний,Низкий,270.0,8180.0,2710.0,12.0,134567.0,1014.0,990.0,1014.0,11160.0,2215108.0,16936.0,83220.0,2016135.1134935103,+9.0%,124780.40234032468,+7.3%,16146.830372496928,+4.7%,185.81788215904407,Низкий
Самарская область,ПФО,814547.0,284300278.0,2247190.0,29795173.0,4629850.0,3000.0,247625065.0,2288.0,26.0,594.0,924.0,0.0,744.0,796903.0,3128.0,348000.0,141500.0,52.0,304223.0,0.039133555215352826,8918.911021793117,0.9397087305608894,0.07513803608227043,Низкий,Низкий,61.0,257.0,47.0,63.0,373703.0,822.0,36.0,135.0,365.0,5787732.0,3577.0,188458.0,5267846.855634137,+9.0%,346524.8589608623,+7.3%,3410.321932122196,+4.7%,348.29676573426576,Средний
Санкт-Петербург,СЗФО,306209.0,1265498456.0,25366485.0,173699279.0,73690297.0,14598926.0,978143469.0,2026.5,2.0,3418.0,66.0,0.0,-1459.5,2890854.0,83898.0,1551110.0,1321436.0,6058.0,-71648.0,0.3776314869909115,10943.984511151375,0.7658251476630593,0.505834118273409,Высокий,Низкий,1040.0,3985.0,1577.0,90.0,344932.0,5561.0,411650.0,143.0,6602.0,6551727.0,43520.0,12375112.0,5963215.725248383,+9.0%,319846.27538737486,+7.3%,41492.09127368129,+4.7%,1426.5255366395263,Высокий
Саратовская область,ПФО,627283.0,66144942.0,10000.0,4884322.0,1160000.0,0.0,60090620.0,35398.0,2.0,68282.0,484.0,0.0,-33370.0,806646.0,102.0,290180.0,274378.0,10.0,241976.0,0.05143745327069281,2049.999070224113,4.088381636855316,0.10159668083085382,Низкий,Низкий,427.0,9481.0,145.0,23.0,365032.0,3856.0,135.0,12.0,10053.0,200000.0,5665.0,133967.0,182034.92682916683,+9.0%,338484.4711340329,+7.3%,5401.027046539625,+4.7%,22.78789762133454,Низкий
Сахалинская область,ДФО,129499.0,192208761.0,20292056.0,28908560.0,33174682.0,1506572.0,108326891.0,810.0,6.0,254.0,306.0,0.0,244.0,342729.0,7584.0,212912.0,56380.0,206.0,65647.0,0.1058630568575819,14020.462304036133,0.597781897096361,0.17987201813966944,Средний,Низкий,1358.0,81350.0,9500.0,188.0,426894.0,2159.0,734.0,48.0,92208.0,7930000.0,8956.0,91615.0,7217684.848776464,+9.0%,395847.4594564088,+7.3%,8538.675768545258,+4.7%,423.1222222222222,Средний
Свердловская область,УФО,1118951.0,794015223.0,51200.0,55714472.0,9236274.0,605676.0,728407601.0,4101.0,108.0,1854.0,1202.0,0.0,937.0,3144009.0,109916.0,1200248.0,386784.0,1318.0,1445743.0,0.1123913022107313,6313.716205965059,1.3274556981760415,0.20723656680881242,Средний,Низкий,124.0,4853.0,715.0,29.0,705097.0,10866.0,61.0,464.0,5692.0,1940000.0,28399.0,328523.0,1765738.790242918,+9.0%,653817.7067851399,+7.3%,27075.687042308706,+4.7%,766.6444769568398,Средний
Севастополь,ЮФО,306209.0,57910607.0,0.0,8395933.0,3625028.0,362805.0,45526841.0,93.0,0.0,38.0,50.0,0.0,5.0,406004.0,2004.0,354758.0,31632.0,30.0,17580.0,0.05303619423335042,3565.8889444438973,2.3503756524256496,0.10373168443574766,Низкий,Низкий,111.0,289.0,22.0,103.0,73326.0,3344.0,92.0,38.0,422.0,1725478.0,11077.0,6002.0,1570486.3073766856,+9.0%,67993.25081191264,+7.3%,10560.843176437675,+4.7%,4365.634408602151,Высокий
Смоленская область,ЦФО,235757.0,27279927.0,139300.0,5960477.0,3738074.0,0.0,17442076.0,1008.0,12.0,518.0,170.0,0.0,308.0,436864.0,14626.0,153874.0,90628.0,4.0,177732.0,0.07412106533422126,1561.1223973593612,5.368687662448185,0.14622334492708933,Средний,Низкий,10.0,243.0,155.0,48.0,69987.0,3277.0,183.0,687.0,408.0,340000.0,6389.0,26430.0,309459.37560958357,+9.0%,64897.084861758856,+7.3%,6091.290697324213,+4.7%,433.3968253968254,Средний
Ставропольский край,СКФО,802825.0,30325203.0,350100.0,4060805.0,1187652.0,137420.0,24589226.0,3605.0,56.0,1808.0,636.0,0.0,1105.0,1422464.0,2898.0,1374654.0,302802.0,76.0,-257966.0,0.07087292996605736,532.9696041516693,15.725434413122123,0.141109892032418,Средний,Низкий,66.0,204.0,21.0,3.0,21054.0,3981.0,11.0,1306.0,291.0,552890.0,16017.0,17819.0,503226.4534728902,+9.0%,19522.814589559075,+7.3%,15270.653169360137,+4.7%,394.58085991678223,Средний
Тамбовская область,ЦФО,244583.0,116369491.0,70802.0,5426972.0,2652139.0,54000.0,108165578.0,16524.0,96.0,3514.0,546.0,0.0,12368.0,809010.0,11962.0,274846.0,151380.0,52.0,370770.0,0.13230845970488544,3596.0461242753486,2.3306649204794763,0.25040196390085756,Высокий,Низкий,1580.0,4550.0,4120.0,181.0,17020.0,1209.0,270.0,25.0,10250.0,0.0,6068.0,3711.0,0.0,+9.0%,15782.193612344232,+7.3%,5785.248388067511,+4.7%,48.95969498910675,Низкий
Тверская область,ЦФО,308795.0,116593018.0,76457.0,10421508.0,676319.0,250000.0,105168734.0,1235.0,20.0,1344.0,230.0,0.0,-359.0,567299.0,1098.0,140284.0,137500.0,640.0,287777.0,0.07348551628102787,5138.076129166454,1.6311900298048732,0.14063537400757195,Средний,Низкий,125.0,596.0,187.0,14.0,237400.0,1449.0,1874.0,145.0,908.0,1270981.0,2526.0,59100.0,1156814.6666813064,+9.0%,220134.7099630153,+7.3%,2408.2955550854535,+4.7%,459.3514170040486,Средний
Томская область,СФО,319907.0,49396899.0,79300.0,4696234.0,5846477.0,110000.0,38664888.0,6627.0,10.0,3272.0,3106.0,0.0,239.0,391003.0,5844.0,107480.0,103384.0,4002.0,170293.0,0.048889583535214914,3158.3452684506256,2.653661282063139,0.0960103260775203,Низкий,Низкий,40.0,92.0,33.0,26.0,999695.0,4100.0,28.0,140.0,165.0,1679726.0,11700.0,91452.0,1528843.9975152453,+9.0%,926990.6018385703,+7.3%,11154.813141132148,+4.7%,59.00150897842161,Низкий
Тульская область,ЦФО,351901.0,500757314.0,0.0,36521362.0,1601288.0,105490.0,462529174.0,1208.0,10.0,332.0,658.0,0.0,208.0,1020761.0,4300.0,155338.0,96654.0,2882.0,761587.0,0.11602820111338133,12264.313438699166,0.6833793506800409,0.1983751005592844,Высокий,Низкий,30.0,610.0,67.0,13.0,91909.0,6812.0,35.0,68.0,707.0,22904.0,16306.0,31913.0,20846.639820476183,+9.0%,85224.77278007907,+7.3%,15546.186587974427,+4.7%,845.0008278145696,Средний
Тюменская область,УФО,1083308.0,426838330.0,1712800.0,49581359.0,2445900.0,1904000.0,371194271.0,3494.0,0.0,5820.0,94.0,0.0,-2420.0,1542704.0,3644.0,861034.0,498640.0,10.0,179376.0,0.05696271051261506,6917.048409805121,1.2116697842383417,0.10881006980670255,Низкий,Низкий,327.0,3056.0,1454.0,151.0,565700.0,26787.0,213.0,43.0,4837.0,29583076.0,199774.0,202000.0,26925765.375208404,+9.0%,524558.5738250959,+7.3%,190465.09747491742,+4.7%,441.52947910704063,Средний
Тюменская область,УФО,1083308.0,426838330.0,1712800.0,49581359.0,2445900.0,1904000.0,371194271.0,3494.0,0.0,5820.0,94.0,0.0,-2420.0,1542704.0,3644.0,861034.0,498640.0,10.0,179376.0,0.05696271051261506,6917.048409805121,1.2116697842383417,0.10881006980670255,Низкий,Низкий,327.0,3056.0,1454.0,151.0,565700.0,26787.0,213.0,43.0,4837.0,29583076.0,199774.0,202000.0,26925765.375208404,+9.0%,524558.5738250959,+7.3%,190465.09747491742,+4.7%,441.52947910704063,Средний
Тюменская область,УФО,1083308.0,426838330.0,1712800.0,49581359.0,2445900.0,1904000.0,371194271.0,3494.0,0.0,5820.0,94.0,0.0,-2420.0,1542704.0,3644.0,861034.0,498640.0,10.0,179376.0,0.05696271051261506,6917.048409805121,1.2116697842383417,0.10881006980670255,Низкий,Низкий,327.0,3056.0,1454.0,151.0,565700.0,26787.0,213.0,43.0,4837.0,29583076.0,199774.0,202000.0,26925765.375208404,+9.0%,524558.5738250959,+7.3%,190465.09747491742,+4.7%,441.52947910704063,Средний
Тюменская область,УФО,1083308.0,426838330.0,1712800.0,49581359.0,2445900.0,1904000.0,371194271.0,3494.0,0.0,5820.0,94.0,0.0,-2420.0,1542704.0,3644.0,861034.0,498640.0,10.0,179376.0,0.05696271051261506,6917.048409805121,1.2116697842383417,0.10881006980670255,Низкий,Низкий,327.0,3056.0,1454.0,151.0,565700.0,26787.0,213.0,43.0,4837.0,29583076.0,199774.0,202000.0,26925765.375208404,+9.0%,524558.5738250959,+7.3%,190465.09747491742,+4.7%,441.52947910704063,Средний
Удмуртская Республика,ПФО,391208.0,92893301.0,0.0,16408305.0,6360475.0,150000.0,69974521.0,422.0,4.0,354.0,72.0,0.0,-8.0,487595.0,440.0,170000.0,51308.0,220.0,265627.0,0.04985531993210773,4762.830884237944,1.7597052589062754,0.09696350561007697,Низкий,Низкий,50.0,492.0,26.0,31.0,3858573.0,1450.0,154.0,112.0,568.0,0.0,20881.0,55478.0,0.0,+9.0%,3577952.1829238497,+7.3%,19908.00454700687,+4.7%,1155.4383886255923,Высокий
Ульяновская область,ПФО,306209.0,56183176.5,5901000.0,947790.0,10100000.0,222050.0,39012336.5,691.0,26.0,190.0,144.0,0.0,331.0,261445.0,19242.0,18884.0,56420.0,178.0,166721.0,0.03415249061915228,5372.370527261948,1.5600522174977831,0.06684169034529368,Низкий,Низкий,54.0,116.0,7.0,10.0,5371.0,3642.0,46.0,43.0,177.0,503535.0,8730.0,1509.0,458304.78440462257,+9.0%,4980.385540064681,+7.3%,8323.206728383218,+4.7%,378.3574529667149,Средний
Хабаровский край,ДФО,378310.0,70846458.0,0.0,28050336.0,5108277.0,3654061.0,34033784.0,3530.0,14.0,1028.0,780.0,0.0,1708.0,389025.0,84.0,105622.0,68972.0,18.0,214329.0,0.04113293330866221,4552.8216695585115,1.8408756508768462,0.08046787460305624,Низкий,Низкий,160.0,450.0,40.0,10.0,47124.0,650.0,62.0,0.0,650.0,1694500.0,3890.0,155950.0,1542290.917560116,+9.0%,43696.83265500056,+7.3%,3708.7370187182955,+4.7%,110.20538243626062,Низкий
Ханты-Мансийский автономный округ - Югра,УФО,306209.0,225334098.0,880500.0,29100706.0,3983256.0,2341190.0,189028446.0,3154.0,18.0,1366.0,1202.0,0.0,568.0,997867.0,4156.0,313842.0,254520.0,2846.0,422503.0,0.13035110006564143,5645.394075563177,1.4846046958092365,0.23965963124893397,Высокий,Низкий,71.0,2125.0,256.0,83.0,251599.0,480.0,0.0,0.0,2452.0,0.0,5360.0,161434.0,0.0,+9.0%,233301.0652568858,+7.3%,5110.239182604129,+4.7%,316.38142041851614,Средний
Челябинская область,УФО,917875.0,294678056.5,3712317.0,9294827.0,4152909.0,220000.0,277298003.5,1802.0,10.0,804.0,392.0,0.0,596.0,1240653.0,2092.0,658126.0,49166.0,352.0,530917.0,0.0540663162195288,5937.962840939408,1.4114568882934946,0.10414338608588039,Низкий,Низкий,28.0,122.0,148.0,32.0,10294.0,846.0,58.0,18.0,150.0,503535.0,1466.0,1813.0,458304.78440462257,+9.0%,9545.352587865542,+7.3%,1397.6885525555324,+4.7%,688.4866814650388,Средний
Чеченская Республика,СКФО,545710.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,0.0,0.0,174.0,0.0,210.0,553385.0,0.0,172560.0,480520.0,0.0,-99695.0,0.04056256986311411,0.0,inf,,Низкий,Низкий,21.0,58.0,11.0,8.0,308.0,327.0,11.0,13.0,90.0,200000.0,122000.0,98.0,182034.92682916683,+9.0%,285.60021343137623,+7.3%,116315.14557419847,+4.7%,1441.1067708333333,Высокий
Чувашская Республика,ПФО,319348.0,24526772.5,286050.0,1596887.0,758180.0,76176.0,21809479.5,1565.0,2.0,816.0,408.0,0.0,339.0,472379.0,1702.0,91840.0,24694.0,98.0,354045.0,0.05916792965667548,1298.0452401567386,6.456769221127232,0.11726131122645417,Низкий,Низкий,295.0,1650.0,2515.0,0.0,2568000.0,1560.0,400.0,0.0,4460.0,1050000.0,8601.0,756000.0,955683.3658531258,+9.0%,2381238.143155111,+7.3%,8200.217762980992,+4.7%,301.8396166134185,Средний
Чукотский автономный округ,ДФО,14238.0,69798455.0,0.0,1050000.0,6098455.0,0.0,62650000.0,27.0,0.0,16.0,4.0,0.0,7.0,2082.0,0.0,466.0,836.0,0.0,780.0,0.00584913611462284,838117.8554274736,0.01,0.007381015687317204,Низкий,Низкий,2.0,1072.0,14.0,1.0,9690.0,1157.0,14.0,12.0,1088.0,46137.0,996.0,2430.0,41992.72709558635,+9.0%,8985.27944204557,+7.3%,949.5892212450957,+4.7%,77.11111111111111,Низкий
Ямало-Ненецкий автономный округ,УФО,157900.0,722407285.0,18721546.0,114866056.0,43993860.0,14931738.0,529894085.0,1990.0,20.0,1058.0,694.0,0.0,218.0,500132.0,2074.0,38860.0,33000.0,1086.0,425112.0,0.126695883470551,36110.83099061848,0.23209597576007454,0.16391455905347502,Высокий,Низкий,235.0,1528.0,601.0,47.0,180294.0,3109.0,128.0,1241.0,2364.0,245000.0,25449.0,74951.0,222992.78536572936,+9.0%,167181.8340272615,+7.3%,24263.148686211283,+4.7%,251.32261306532664,Низкий
Ярославская область,ЦФО,310414.0,137786237.5,1093071.0,34948005.0,10632566.0,133798.0,90978797.5,1003.0,32.0,520.0,450.0,0.0,1.0,891290.0,1440.0,491998.0,358962.0,2322.0,36568.0,0.1148517785924604,3864.7981437018257,2.1685941264313944,0.21815002660481822,Средний,Низкий,33.0,334.0,36.0,78.0,223500.0,7504.0,46.0,41.0,403.0,503535.0,63284.0,171270.0,458304.78440462257,+9.0%,207245.6094217941,+7.3%,60335.14485670144,+4.7%,888.6241276171486,Высокий
