Регион,Округ,Население,Бюджет,Бюджет МиММ,Бюджет ПВ,Бюджет ВД,Бюджет ПиП,Бюджет других расходов,Общее количество организаций,Кол-во организаций МиММ,Кол-во организаций ПВ,Кол-во организаций ВД,Кол-во организаций ПиП,Кол-во других организаций,Общее количество вовлеченной молодежи,Численность МиММ,Численность ПВ,Численность ВД,Численность ПиП,Численность других отделений,M1 Вовлеченность,Бюджет на человек,M2 Вовлеченность,M3 Итоговая,Уровень вовлеченности населения,Уровень финансирования населения
Республика Крым,ЮФО,477175.0,329591858.0,8043100.0,72360325.0,24453907.0,112000.0,224622526.0,1073.0,10.0,536.0,170.0,0.0,357.0,1049396.0,1038.0,457742.0,256084.0,760.0,333772.0,0.0879673914182428,7851.941926593965,1.0674020048324968,0.16253947917336004,Средний,Низкий
Республика Марий Эл,ПФО,178819.0,34300438.0,12760.0,20516784.0,8615846.0,135000.0,5020048.0,944.0,8.0,908.0,550.0,0.0,-522.0,490831.0,1116.0,170820.0,99792.0,68.0,219035.0,0.10979392570140757,1747.0594766834204,4.797305796472013,0.21467468199382378,Средний,Низкий
Республика Мордовия,ПФО,204634.0,145020806.0,4170000.0,2520514.0,6607400.0,0.0,131722892.0,1422.0,2.0,370.0,598.0,0.0,452.0,433939.0,1840.0,91000.0,79786.0,0.0,261313.0,0.08482246352023613,8354.907371773452,1.003144401407733,0.1564186964454474,Средний,Низкий
Республика Саха (Якутия),ДФО,311199.0,61761948.0,615552.0,9368357.0,5940733.0,240478.0,45596828.0,3120.5,13.0,970.0,768.0,0.0,1369.5,216660.0,3066.0,32414.0,135338.0,150.0,45692.0,0.02784841853604928,7126.597895319856,1.1760420157532363,0.05440845667987988,Низкий,Низкий
Республика Северная Осетия - Алания,СКФО,201681.0,30920356.0,0.0,15639990.0,0.0,0.0,15280366.0,7.0,0.0,0.0,0.0,0.0,7.0,130871.0,0.0,57014.0,0.0,0.0,73857.0,0.0259560394881025,5906.647767649059,1.4189399612041842,0.05097953298592592,Низкий,Низкий
Республика Татарстан,ПФО,1072868.0,2565743873.0,32665150.0,53510669.0,52927999.0,9661947.0,2416978108.0,4342.0,22.0,1388.0,2494.0,0.0,438.0,1441157.0,76012.0,115202.0,187194.0,5130.0,1057619.0,0.05373100884731393,44508.40319618196,0.18830553226842553,0.08360593961285108,Низкий,Низкий
Республика Тыва,СФО,102857.0,32685474.0,615552.0,5196600.0,4288152.0,240478.0,22344692.0,1263.5,13.0,0.0,450.0,0.0,800.5,445720.0,3066.0,0.0,122344.0,150.0,320160.0,0.1733357962997171,1833.2963519698467,4.571644156314006,0.33400755667982746,Высокий,Низкий
Республика Хакасия,СФО,141228.0,28460512.0,861152.0,12548238.0,419828.0,130000.0,14501294.0,592.0,10.0,344.0,218.0,0.0,20.0,103275.0,2706.0,21500.0,7090.0,52.0,71927.0,0.02925057354065766,6889.4969740982815,1.21651531102845,0.057127540590632915,Низкий,Низкий
Ростовская область,ЮФО,1128158.0,111178579.0,9593440.0,14357572.0,22070751.0,234720.0,64922096.0,7414.0,120.0,2966.0,1304.0,0.0,3024.0,1347776.0,70652.0,615254.0,341694.0,2384.0,317792.0,0.047786781638742094,2062.2599564022507,4.0640747197052,0.09446283690761864,Низкий,Низкий
Рязанская область,ЦФО,273390.0,28093985.0,615552.0,0.0,4288152.0,240478.0,22949803.0,2426.0,78.0,302.0,1294.0,0.0,752.0,450969.0,1376.0,181740.0,184914.0,40.0,82899.0,0.0659817842642379,1557.4232929536179,5.381439068103329,0.1303651622467947,Средний,Низкий
